trades,sessions,win_rate,avg_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,t_stat_r,leg,filter,split,config
135,140.0,0.5037037037037037,-0.0262258096319938,-17.87037037037037,-2412.5,0.9217165571509695,-6852.5,-0.3868036555921405,ES,or_width_rel_narrow,full,OR30m/cut1100/exit1100/TE/both/follow
82,84.0,0.45121951219512196,-0.08404326016954258,-42.28658536585366,-3467.5,0.8054698457223002,-3980.0,-1.0407363537840237,ES,or_width_rel_narrow,IS,OR30m/cut1100/exit1100/TE/both/follow
53,56.0,0.5849056603773585,0.06322760440723256,19.90566037735849,1055.0,1.0812006927073312,-4870.0,0.5305045623797696,ES,or_width_rel_narrow,OOS,OR30m/cut1100/exit1100/TE/both/follow
156,161.0,0.4935897435897436,0.031585462703103535,-11.073717948717949,-1727.5,0.9687032927215906,-19610.0,0.48249959667731274,ES,or_width_rel_typical,full,OR30m/cut1100/exit1100/TE/both/follow
89,92.0,0.5617977528089888,0.2010199453462693,167.58426966292134,14915.0,1.653521743893088,-6477.5,2.083565175489819,ES,or_width_rel_typical,IS,OR30m/cut1100/exit1100/TE/both/follow
67,69.0,0.40298507462686567,-0.19348422319602707,-248.3955223880597,-16642.5,0.4859459459459459,-16642.5,-2.585298993957092,ES,or_width_rel_typical,OOS,OR30m/cut1100/exit1100/TE/both/follow
143,155.0,0.5104895104895105,-0.004059654950914238,-23.216783216783217,-3320.0,0.953590774069544,-13887.5,-0.07855666794300471,ES,or_width_rel_wide,full,OR30m/cut1100/exit1100/TE/both/follow
88,96.0,0.5227272727272727,-0.016785387966883517,-37.15909090909091,-3270.0,0.9287853215005172,-13505.0,-0.24294698295788344,ES,or_width_rel_wide,IS,OR30m/cut1100/exit1100/TE/both/follow
55,59.0,0.4909090909090909,0.016301517874636608,-0.9090909090909091,-50.0,0.998048399687744,-12082.5,0.21148428690127977,ES,or_width_rel_wide,OOS,OR30m/cut1100/exit1100/TE/both/follow
156,163.0,0.5512820512820513,0.025683288192362416,3.9903846153846154,622.5,1.0151413803587717,-7660.0,0.4241742211216169,ES,or_volume_rel_quiet,full,OR30m/cut1100/exit1100/TE/both/follow
95,99.0,0.5473684210526316,0.035452566159989575,37.76315789473684,3587.5,1.1591261920603237,-6312.5,0.49027634310811485,ES,or_volume_rel_quiet,IS,OR30m/cut1100/exit1100/TE/both/follow
61,64.0,0.5573770491803278,0.01046883889851687,-48.60655737704918,-2965.0,0.8403123737713747,-6292.5,0.09780802700233386,ES,or_volume_rel_quiet,OOS,OR30m/cut1100/exit1100/TE/both/follow
195,207.0,0.4717948717948718,-0.027099030954784664,-68.46153846153847,-13350.0,0.8404922635760799,-17442.5,-0.49706307126452876,ES,or_volume_rel_normal,full,OR30m/cut1100/exit1100/TE/both/follow
98,105.0,0.46938775510204084,0.02175699032199458,-36.55612244897959,-3582.5,0.9070807936713785,-11132.5,0.24734451618304631,ES,or_volume_rel_normal,IS,OR30m/cut1100/exit1100/TE/both/follow
97,102.0,0.4742268041237113,-0.07645872255400495,-100.69587628865979,-9767.5,0.7836176340274701,-17442.5,-1.1903619517027275,ES,or_volume_rel_normal,OOS,OR30m/cut1100/exit1100/TE/both/follow
83,86.0,0.4819277108433735,0.02510885905492448,63.463855421686745,5267.5,1.160864254084593,-7352.5,0.32804691325027224,ES,or_volume_rel_busy,full,OR30m/cut1100/exit1100/TE/both/follow
66,68.0,0.5303030303030303,0.06093840642538261,123.82575757575758,8172.5,1.3209306891812291,-5132.5,0.6624256172021343,ES,or_volume_rel_busy,IS,OR30m/cut1100/exit1100/TE/both/follow
17,18.0,0.29411764705882354,-0.11399408955979526,-170.88235294117646,-2905.0,0.6009615384615384,-5197.5,-1.0586137518587986,ES,or_volume_rel_busy,OOS,OR30m/cut1100/exit1100/TE/both/follow
154,164.0,0.551948051948052,0.06397934859151497,-5.340909090909091,-822.5,0.9849901911583557,-13075.0,1.0940425959743951,ES,gap_up_gt_0.25pct,full,OR30m/cut1100/exit1100/TE/both/follow
